iter	Logloss
0	0.6271834872
1	0.5722393648
2	0.5279914574
3	0.4880922049
4	0.4574968109
5	0.431534315
6	0.4098884351
7	0.394023764
8	0.3811589637
9	0.3685442625
10	0.3593240161
11	0.3488157735
12	0.3411860571
13	0.3341629188
14	0.3293201215
15	0.3248949114
16	0.3203675753
17	0.3161930842
18	0.3118387892
19	0.3084753818
20	0.305334183
21	0.3019991479
22	0.2990832013
23	0.2969221984
24	0.2945760692
25	0.2928317686
26	0.2911668352
27	0.290449784
28	0.2886676762
29	0.2880916138
30	0.2873726917
31	0.2859958283
32	0.2849107583
33	0.2838291118
34	0.2826325136
35	0.282528237
36	0.2817028669
37	0.2816267379
38	0.2810370683
39	0.2802075043
40	0.280149426
41	0.279417315
42	0.2788747071
43	0.2780205601
44	0.276910844
45	0.2763326191
46	0.2751982351
47	0.2751813589
48	0.2746851927
49	0.2743935883
50	0.2735795918
51	0.2734377355
52	0.2724115658
53	0.2715412895
54	0.2712218525
55	0.2709509461
56	0.2709014881
57	0.2699078068
58	0.269361937
59	0.2692880596
60	0.2679149156
61	0.2675084983
62	0.2672415953
63	0.2667355772
64	0.2656753384
65	0.265671607
66	0.2655326591
67	0.264735087
68	0.2642512568
69	0.2634259954
70	0.2632564815
71	0.2627986898
72	0.262477218
73	0.2624520376
74	0.2622444251
75	0.2620685433
76	0.2614023115
77	0.2613663505
78	0.2607773015
79	0.2604798532
80	0.2601562914
81	0.2596904692
82	0.2591979975
83	0.2591478662
84	0.2589858511
85	0.258961576
86	0.258404796
87	0.2580303974
88	0.2577500659
89	0.2573979737
90	0.2573443104
91	0.2570450821
92	0.2569215639
93	0.2562295221
94	0.2555146811
95	0.2545466443
96	0.2537105002
97	0.2537097349
98	0.2534656059
99	0.2530977968
100	0.2517270485
101	0.2506288767
102	0.2505875677
103	0.2502719007
104	0.2498599179
105	0.2494681107
106	0.2494596327
107	0.2493164921
108	0.2482131311
109	0.2480065508
110	0.2476879432
111	0.2472028703
112	0.2468891196
113	0.2466820939
114	0.2466790768
115	0.2464863862
116	0.2461820235
117	0.2457609261
118	0.245607545
119	0.2453956521
120	0.2450826268
121	0.2444297798
122	0.2441880414
123	0.2440020731
124	0.2432078653
125	0.243185327
126	0.2427738976
127	0.2427022238
128	0.242144605
129	0.2417962343
130	0.2415905881
131	0.2408684466
132	0.2408677773
133	0.2401981323
134	0.2397669184
135	0.2394645246
136	0.2392911134
137	0.238859191
138	0.2383359542
139	0.2379709466
140	0.2376342713
141	0.2370434269
142	0.2363990505
143	0.2360139736
144	0.2356149332
145	0.2350596585
146	0.2347463801
147	0.2347090677
148	0.234477133
149	0.2343903019
150	0.2342674803
151	0.2340782375
152	0.2337388019
153	0.2333937495
154	0.2330248545
155	0.2327700057
156	0.2323849409
157	0.231991326
158	0.2316230633
159	0.2310586496
160	0.2306279313
161	0.2304589641
162	0.22987571
163	0.22963442
164	0.2294543053
165	0.2289526509
166	0.2285081367
167	0.2281753772
168	0.2275987508
169	0.2273056566
170	0.2267365246
171	0.2264654905
172	0.2259060791
173	0.2254390686
174	0.2249902217
175	0.224845695
176	0.224434321
177	0.2236992123
178	0.2234694156
179	0.2231265167
180	0.2225849571
181	0.2222730994
182	0.2220138256
183	0.2216165054
184	0.2209397295
185	0.220650433
186	0.2203596924
