iter	Passed	Remaining
0	77	77351
1	177	88425
2	292	97092
3	424	105741
4	500	99560
5	589	97675
6	695	98604
7	734	91023
8	798	87968
9	872	86385
10	934	84045
11	1037	85461
12	1137	86327
13	1236	87120
14	1286	84480
15	1355	83356
16	1460	84469
17	1512	82537
18	1613	83315
19	1714	84000
20	1823	85007
21	1923	85503
22	2022	85899
23	2135	86833
24	2235	87198
25	2333	87434
26	2439	87917
27	2504	86939
28	2602	87152
29	2649	85681
30	2717	84928
31	2820	85308
32	2937	86079
33	3057	86876
34	3170	87427
35	3203	85794
36	3304	86008
37	3327	84247
38	3434	84625
39	3531	84753
40	3566	83432
41	3660	83501
42	3765	83811
43	3863	83933
44	3976	84384
45	4079	84600
46	4178	84735
47	4212	83556
48	4310	83666
49	4407	83733
50	4513	83984
51	4609	84032
52	4712	84200
53	4812	84304
54	4906	84310
55	5019	84613
56	5059	83695
57	5161	83829
58	5269	84039
59	5313	83239
60	5412	83323
61	5514	83432
62	5625	83666
63	5722	83694
64	5832	83899
65	5864	82995
66	5972	83165
67	6073	83249
68	6174	83305
69	6279	83430
70	6376	83437
71	6482	83546
72	6589	83681
73	6640	83099
74	6740	83131
75	6838	83139
76	6942	83225
77	7000	82747
78	7104	82830
79	7207	82881
80	7307	82906
81	7411	82969
82	7515	83037
83	7563	82476
84	7665	82513
85	7698	81813
86	7802	81884
87	7899	81872
88	8005	81948
89	8112	82029
90	8225	82160
91	8325	82173
92	8387	81798
93	8494	81871
94	8601	81941
95	8706	81983
96	8805	81977
97	8825	81230
98	8929	81267
99	9031	81279
100	9142	81375
101	9240	81352
102	9265	80691
103	9366	80698
104	9476	80774
105	9576	80769
106	9601	80135
107	9705	80157
108	9810	80190
109	9922	80282
110	10043	80435
111	10162	80573
112	10282	80715
113	10387	80732
114	10426	80238
115	10546	80368
116	10661	80458
117	10773	80529
118	10883	80571
119	11000	80669
120	11117	80764
121	11235	80855
122	11359	80992
123	11481	81109
124	11600	81206
125	11635	80712
126	11753	80795
127	11859	80795
128	11964	80781
129	12063	80729
130	12169	80727
131	12269	80681
132	12288	80105
133	12387	80059
134	12494	80058
135	12593	80007
136	12698	79994
137	12805	79985
138	12916	80004
139	13021	79989
140	13123	79950
141	13230	79940
142	13345	79979
143	13467	80058
144	13573	80034
145	13680	80023
146	13780	79963
147	13825	79589
148	13938	79606
149	14042	79574
150	14144	79529
151	14245	79472
152	14355	79471
153	14464	79463
154	14561	79384
155	14668	79358
156	14770	79311
157	14870	79247
158	14981	79241
159	15086	79205
160	15196	79193
161	15335	79328
162	15439	79280
163	15542	79229
164	15651	79205
165	15752	79142
166	15862	79124
167	15962	79050
168	16059	78969
169	16165	78925
170	16273	78891
171	16375	78829
172	16486	78810
173	16587	78744
174	16686	78663
175	16801	78663
176	16901	78589
177	17001	78513
178	17145	78639
179	17251	78588
180	17358	78544
181	17465	78498
182	17569	78440
183	17676	78390
184	17783	78341
185	17885	78273
186	18004	78277
